#{"t_start": 1711908894.559071, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
315.0,3997,5235.572121
75.0,1987,5245.663077
35.0,1117,5251.6771
350.0,3891,5278.931078
140.0,2227,5290.056838
70.0,2493,5300.672142
20.0,1115,5305.131906
30.0,1225,5310.057647
530.0,4513,5328.637051
135.0,2933,5341.282282
90.0,1925,5349.915549
160.0,2041,5358.451833
140.0,2065,5367.952048
165.0,2557,5379.955057
455.0,3657,5396.957956
30.0,1117,5401.529439
75.0,2015,5410.066616
100.0,1453,5416.803207
60.0,1181,5421.831228
15.0,905,5425.635048
245.0,2855,5437.57587
40.0,1151,5442.790135
35.0,1765,5450.959012
70.0,1967,5459.446906
50.0,1917,5467.555151
5.0,1987,5469.267227
30.0,2727,5471.49604
5.0,1987,5473.169942
30.0,2727,5475.405765
120.0,1869,5483.301474
135.0,1877,5491.286333
350.0,3117,5504.217794
220.0,3813,5521.234118
105.0,1801,5528.769395
100.0,2673,5540.081597
135.0,3227,5554.007645
90.0,3103,5569.323461
105.0,1935,5579.346667
180.0,3805,5599.129714
25.0,1551,5606.14598
260.0,3617,5621.208269
120.0,2331,5631.931342
140.0,2719,5646.287971
325.0,3277,5662.529993
50.0,1895,5675.945122
65.0,1807,5685.948589
15.0,1449,5692.988883
20.0,1885,5702.83523
40.0,1099,5709.189419
50.0,1795,5717.50908
40.0,1737,5725.740169
70.0,1607,5732.769659
30.0,1973,5742.06962
85.0,1967,5752.035082
185.0,2275,5762.705151
310.0,4087,5782.544279
50.0,2001,5791.909649
155.0,3883,5809.615282
90.0,2093,5818.960675
135.0,2541,5830.654288
565.0,3255,5845.807898
110.0,1763,5853.626844
125.0,2827,5862.92498
10.0,1123,5864.089168
270.0,2849,5866.769294
10.0,1123,5867.7327
270.0,2849,5870.405628
200.0,2977,5887.206401
155.0,2719,5905.978702
20.0,1195,5913.391408
520.0,4014,5940.162464
240.0,3063,5959.806929
35.0,1259,5967.705692
205.0,2327,5981.398505
475.0,3559,5996.661853
35.0,1075,6001.558685
500.0,3201,6016.280277
100.0,1749,6024.104831
165.0,1903,6032.529284
200.0,2983,6048.018277
205.0,2767,6061.776086
35.0,1673,6071.438434
255.0,3519,6088.371703
25.0,1011,6092.418566
75.0,1867,6100.617189
215.0,1937,6110.135881
185.0,2395,6122.726739
70.0,1845,6131.684671
75.0,1203,6137.072045
230.0,2515,6148.395382
15.0,1195,6153.814207
100.0,2033,6164.010635
135.0,1933,6173.474019
5.0,1447,6179.824655
70.0,1543,6186.863081
215.0,3081,6201.326243
90.0,2085,6210.517576
225.0,2361,6221.347199
155.0,2033,6230.728082
160.0,1923,6239.677721
45.0,1909,6248.871769
35.0,1345,6254.717023
0.0,1113,6259.744528
35.0,1131,6264.865739
35.0,1511,6271.969172
940.0,5893,6287.61401
275.0,2863,6290.033587
545.0,2733,6292.738477
535.0,3493,6295.876067
195.0,1883,6297.780592
35.0,1081,6303.187812
150.0,1877,6312.311628
265.0,3129,6328.238726
155.0,1823,6339.186164
255.0,2819,6354.344206
190.0,2701,6370.381679
315.0,2527,6386.140023
190.0,2109,6398.6119
5.0,1173,6405.083267
45.0,1553,6416.242288
390.0,3785,6439.211408
100.0,1947,6448.272444
160.0,2055,6458.775926
155.0,1991,6469.584211
155.0,3511,6487.579531
25.0,1447,6495.110548
365.0,3641,6514.464731
170.0,2953,6528.782913
370.0,4056,6547.632993
285.0,2949,6561.601148
200.0,2681,6574.547107
85.0,2407,6586.858265
575.0,3100,6601.087781
210.0,2997,6617.330745
160.0,3501,6634.721466
335.0,4177,6653.580075
265.0,2897,6666.824358
240.0,3311,6681.90815
500.0,5145,6706.713672
205.0,2151,6715.710898
180.0,2435,6718.368486
260.0,2291,6720.408324
260.0,2611,6722.797156
260.0,2611,6724.927209
55.0,1233,6730.822534
195.0,2055,6740.502821
10.0,1039,6745.223584
355.0,2696,6758.771415
110.0,1989,6768.574931
65.0,1103,6773.784766
215.0,3737,6793.048218
110.0,2461,6804.178087
285.0,3477,6820.696441
15.0,1009,6825.818753
120.0,2023,6836.13904
120.0,2759,6849.798723
25.0,1541,6857.065966
165.0,2771,6869.700991
70.0,2139,6879.740017
70.0,2103,6889.725854
135.0,2523,6900.65169
50.0,2053,6909.745958
55.0,1571,6917.626518
180.0,3349,6932.913548
185.0,2491,6945.271919
375.0,3351,6960.817528
190.0,2779,6973.525205
225.0,3143,6986.445855
320.0,2814,6997.893679
480.0,2887,7009.924333
80.0,1765,7017.01569
60.0,1529,7023.810924
155.0,2403,7035.435157
265.0,3421,7049.470754
130.0,1995,7057.549789
270.0,3497,7072.162445
335.0,2355,7082.171378
60.0,1175,7087.933618
65.0,1859,7098.528921
30.0,1551,7101.614526
65.0,1873,7103.301345
90.0,1927,7105.032575
65.0,1873,7106.697389
90.0,1927,7108.438473
240.0,2961,7123.261829
160.0,2087,7133.864072
160.0,1973,7143.095339
160.0,2141,7154.099227
340.0,3061,7168.185506
125.0,3003,7181.958858
75.0,1323,7188.162368
115.0,1837,7196.480663
60.0,1177,7201.724587
205.0,2761,7214.340887
145.0,1893,7223.32124
300.0,3155,7237.467496
25.0,1127,7242.834522
110.0,1585,7250.171918
260.0,3255,7264.773612
265.0,2563,7277.237128
45.0,1795,7285.808141
65.0,1715,7294.502599
750.0,4147,7313.262775
210.0,1997,7322.04267
105.0,1723,7330.004072
170.0,2825,7342.885032
95.0,1543,7349.919679
55.0,1111,7355.237176
255.0,2741,7368.831975
410.0,4617,7390.941293
170.0,3121,7405.723897
245.0,2745,7418.337329
255.0,2515,7430.492808
110.0,2023,7439.65996
125.0,1949,7448.871559
50.0,1713,7456.940228
230.0,2751,7469.889802
230.0,2559,7481.736808
55.0,1821,7490.2077
230.0,2295,7493.507741
410.0,3681,7496.442988
